name,url
இளங்கோ குமரவேல்,https://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%B3%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AF%8B_%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%B0%E0%AE%B5%E0%AF%87%E0%AE%B2%E0%AF%8D
இளவரசு,https://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%B3%E0%AE%B5%E0%AE%B0%E0%AE%9A%E0%AF%81
ஈ. இராமதாஸ்,https://ta.wikipedia.org/wiki/%E0%AE%88._%E0%AE%87%E0%AE%B0%E0%AE%BE%E0%AE%AE%E0%AE%A4%E0%AE%BE%E0%AE%B8%E0%AF%8D
ஈ. எல். ஆதித்தன்,https://ta.wikipedia.org/wiki/%E0%AE%88._%E0%AE%8E%E0%AE%B2%E0%AF%8D._%E0%AE%86%E0%AE%A4%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%8D
உதய் பிரகாஷ் (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%89%E0%AE%A4%E0%AE%AF%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%95%E0%AE%BE%E0%AE%B7%E0%AF%8D_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
உதயநிதி ஸ்டாலின்,https://ta.wikipedia.org/wiki/%E0%AE%89%E0%AE%A4%E0%AE%AF%E0%AE%A8%E0%AE%BF%E0%AE%A4%E0%AE%BF_%E0%AE%B8%E0%AF%8D%E0%AE%9F%E0%AE%BE%E0%AE%B2%E0%AE%BF%E0%AE%A9%E0%AF%8D
உதயராஜ்,https://ta.wikipedia.org/wiki/%E0%AE%89%E0%AE%A4%E0%AE%AF%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AF%8D
உதயா (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%89%E0%AE%A4%E0%AE%AF%E0%AE%BE_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
உபேந்திரா லிமாயி,https://ta.wikipedia.org/wiki/%E0%AE%89%E0%AE%AA%E0%AF%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%BE_%E0%AE%B2%E0%AE%BF%E0%AE%AE%E0%AE%BE%E0%AE%AF%E0%AE%BF
உன்னி முகுந்தன்,https://ta.wikipedia.org/wiki/%E0%AE%89%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%BF_%E0%AE%AE%E0%AF%81%E0%AE%95%E0%AF%81%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%A9%E0%AF%8D
எம். ஆர். ஆர். வாசு,https://ta.wikipedia.org/wiki/%E0%AE%8E%E0%AE%AE%E0%AF%8D._%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%B5%E0%AE%BE%E0%AE%9A%E0%AF%81
எம். ஆர். எஸ். மணி,https://ta.wikipedia.org/wiki/%E0%AE%8E%E0%AE%AE%E0%AF%8D._%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%8E%E0%AE%B8%E0%AF%8D._%E0%AE%AE%E0%AE%A3%E0%AE%BF
எம். ஆர். கிருஷ்ணமூர்த்தி,https://ta.wikipedia.org/wiki/%E0%AE%8E%E0%AE%AE%E0%AF%8D._%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%B7%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%82%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF
எம். ஆர். ராதா,https://ta.wikipedia.org/wiki/%E0%AE%8E%E0%AE%AE%E0%AF%8D._%E0%AE%86%E0%AE%B0%E0%AF%8D._%E0%AE%B0%E0%AE%BE%E0%AE%A4%E0%AE%BE
எம். எசு. பாசுகர்,https://ta.wikipedia.org/wiki/%E0%AE%8E%E0%AE%AE%E0%AF%8D._%E0%AE%8E%E0%AE%9A%E0%AF%81._%E0%AE%AA%E0%AE%BE%E0%AE%9A%E0%AF%81%E0%AE%95%E0%AE%B0%E0%AF%8D
எம். எம். தண்டபாணி தேசிகர்,https://ta.wikipedia.org/wiki/%E0%AE%8E%E0%AE%AE%E0%AF%8D._%E0%AE%8E%E0%AE%AE%E0%AF%8D._%E0%AE%A4%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%AA%E0%AE%BE%E0%AE%A3%E0%AE%BF_%E0%AE%A4%E0%AF%87%E0%AE%9A%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D
எம். கே. ராதா,https://ta.wikipedia.org/wiki/%E0%AE%8E%E0%AE%AE%E0%AF%8D._%E0%AE%95%E0%AF%87._%E0%AE%B0%E0%AE%BE%E0%AE%A4%E0%AE%BE
